"order_id","order_date","product_name","category_name","quantity","sale_amount","ship_country"
10248,1996-07-04,Queso Cabrales,Dairy Products,12,168.0,France
10248,1996-07-04,Singaporean Hokkien Fried Mee,Grains/Cereals,10,98.00000190734863,France
10248,1996-07-04,Mozzarella di Giovanni,Dairy Products,5,173.99999618530273,France
10249,1996-07-05,Tofu,Produce,9,167.40000343322754,Germany
10249,1996-07-05,Manjimup Dried Apples,Produce,40,1696.0000610351562,Germany
10250,1996-07-08,Jack's New England Clam Chowder,Seafood,10,76.99999809265137,Brazil
10250,1996-07-08,Manjimup Dried Apples,Produce,35,1484.0000534057617,Brazil
10250,1996-07-08,Louisiana Fiery Hot Pepper Sauce,Condiments,15,251.9999885559082,Brazil
10251,1996-07-08,Gustaf's Knäckebröd,Grains/Cereals,6,100.79999542236328,France
10251,1996-07-08,Ravioli Angelo,Grains/Cereals,15,234.0000057220459,France
10251,1996-07-08,Louisiana Fiery Hot Pepper Sauce,Condiments,20,335.99998474121094,France
10252,1996-07-09,Sir Rodney's Marmalade,Confections,40,2592.0001220703125,Belgium
10252,1996-07-09,Geitost,Dairy Products,25,50.0,Belgium
10252,1996-07-09,Camembert Pierrot,Dairy Products,40,1088.0000305175781,Belgium
10253,1996-07-10,Gorgonzola Telino,Dairy Products,20,200.0,Brazil
10253,1996-07-10,Chartreuse verte,Beverages,42,604.7999839782715,Brazil
10253,1996-07-10,Maxilaku,Confections,40,640.0,Brazil
10254,1996-07-11,Guaraná Fantástica,Beverages,15,53.999998569488525,Switzerland
10254,1996-07-11,Pâté chinois,Meat/Poultry,21,403.2000160217285,Switzerland
10254,1996-07-11,Longlife Tofu,Produce,21,168.0,Switzerland
10255,1996-07-12,Chang,Beverages,20,303.99999618530273,Switzerland
10255,1996-07-12,Pavlova,Confections,35,486.49998664855957,Switzerland
10255,1996-07-12,Inlagd Sill,Seafood,25,379.9999952316284,Switzerland
10255,1996-07-12,Raclette Courdavault,Dairy Products,30,1320.0,Switzerland
10256,1996-07-15,Perth Pasties,Meat/Poultry,15,393.0000114440918,Brazil
10256,1996-07-15,Original Frankfurter grüne Soße,Condiments,12,124.79999542236328,Brazil
10257,1996-07-16,Schoggi Schokolade,Confections,25,877.4999618530273,Venezuela
10257,1996-07-16,Chartreuse verte,Beverages,6,86.39999771118164,Venezuela
10257,1996-07-16,Original Frankfurter grüne Soße,Condiments,15,155.9999942779541,Venezuela
10258,1996-07-17,Chang,Beverages,50,759.9999904632568,Austria
